DR Number,Address,Cross Street,Location 
130100508,4TH,HILL,"(34.0503, -118.2504)"
130100521,6TH                          ST,SAN JULIAN                   ST,"(34.0423, -118.2452)"
130100539,BISHOPS,BROADWAY,"(34.0688, -118.2333)"
130100545,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130100548,3RD,BROADWAY,"(34.051, -118.248)"
130100569,4TH,SAN PEDRO,"(34.0458, -118.243)"
130100572,7TH,WALL,"(34.0412, -118.2474)"
130100580,MAIN,WINSTON,"(34.0476, -118.2477)"
130100595,MAPLE                        AV,OLYMPIC                      BL,"(34.0383, -118.254)"
130100597,6TH,OLIVE,"(34.0481, -118.2542)"
130100634,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)"
130100648,11TH                         ST,HILL                         ST,"(34.0402, -118.2598)"
130100683,6TH,TOWNE,"(34.0408, -118.2428)"
130100704,WALL                         ST,7TH                          ST,"(34.0419, -118.2485)"
130100728,7TH                          ST,MAIN,"(34.0433, -118.2504)"
130100763,ARCADIA,SPRING,"(34.0565, -118.2411)"
130100767,7TH,BROADWAY,"(34.0452, -118.2534)"
130100771,OLIVE,OLYMPIC,"(34.0423, -118.2595)"
130100773,6TH                          ST,LOS ANGELES,"(34.0446, -118.249)"
130100790,CESAR E CHAVEZ,MAIN                         ST,"(34.0583, -118.2378)"
130100804,LOS ANGELES,HOLLYWOOD                    FY,"(34.0615, -118.2412)"
130100832,8TH,LOS ANGELES,"(34.0419, -118.2523)"
130100846,4TH                          ST,SAN PEDRO                    ST,"(34.0454, -118.2422)"
130100864,18TH,GEORGIA                      ST,"(34.0363, -118.2733)"
130100886,6TH                          ST,SAN JULIAN,"(34.0423, -118.2452)"
130100897,6TH,HILL,"(34.0481, -118.2542)"
130100903,7TH                          ST,SAN JULIAN                   ST,"(34.0407, -118.2468)"
130100936,7TH,MAPLE                        AV,"(34.0419, -118.2485)"
130100943,KOHLER                       ST,7TH                          ST,"(34.0375, -118.2423)"
130100949,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)"
130100955,5TH                          ST,FLOWER,"(34.0516, -118.2561)"
130100956,7TH                          ST,LOS ANGELES,"(34.0424, -118.2493)"
130100979,ELMYRA,MAGDALENA,"(34.0635, -118.2313)"
130100980,ELMYRA,MAGDALENA,"(34.0635, -118.2313)"
130100983,7TH,SAN JULIAN,"(34.0407, -118.2468)"
