Premise Code,Premise_Description
133,REDLINE SUBWAY RAIL CAR (INSIDE TRAIN)
147,POOL-PUBLIC/OUTDOOR OR INDOOR*
234,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
127,TRASH CAN/TRASH DUMPSTER
739,SPORTS ARENA
227,ABORTION CLINIC/ABORTION FACILITY*
230,DAY CARE/ADULTS*
810,AMTRAK TRAIN
141,CEMETARY*
303,OIL REFINERY
219,CLEANER/LAUNDROMAT
211,PAWN SHOP
411,PET STORE
204,MANUFACTURING COMPANY
233,TATTOO PARLOR*
144,GOLF COURSE*
807,BLUE LINE (ABOVE GROUND SURFACE TRAIN)
206,TV/RADIO/APPLIANCE
132,REDLINE SUBWAY MEZZANINE
205,GUN/SPORTING GOODS
208,AUTO SALES LOT
808,GREEN LINE (I-105 FWY LEVEL TRAIN)
302,FACTORY
513,ABATEMENT LOCATION
125,PAY PHONE
604,FINANCE COMPANY
246,METHADONE CLINIC
115,AIRCRAFT
407,HARDWARE/BUILDING SUPPLY
130,REDLINE ENTRANCE/EXIT
253,MORTUARY
409,BEAUTY SUPPLY STORE
741,STAPLES CENTER *
223,VIDEO RENTAL STORE
151,TOW YARD*
216,SWAP MEET
150,TOOL SHED*
606,DRIVE THRU BANKING (WINDOW)*
201,JEWELRY STORE
106,TUNNEL
508,FRAT HOUSE/SORORITY/DORMITORY
410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
231,DAY CARE/CHILDREN*
153,ORANGE LINE PARKING LOT
510,NURSING/CONVALESCENT/RETIREMENT HOME
713,CONVENTION CENTER
723,PRIVATE SCHOOL/PRESCHOOL
743,MASS GATHERING LOCATION
712,COLISEUM
705,SLIPS/DOCK/MARINA/BOAT
806,REDLINE (SUBWAY TRAIN)
136,"OTHER INTERSTATE, CHARTER BUS"
405,CLOTHING STORE
249,NURSERY/FLOWER SHOP
408,AUTO SUPPLY STORE*
220,NAIL SALON
724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
129,TERMINAL
113,"TRUCK, COMMERICAL"
506,ABANDONED BUILDING ABANDONED HOUSE
